scenario_params,attr_metadata,bene_attr,particip_year,service_year,year_desc,asof_quarter_sort,enrl_type,metric_code,step_equation_value,step_sort,step_value
"{""scenario"": ""forecast_rr1_expu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 3}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""tin"": ""674188178""}",2025,2025,py,3,1,risk_ratio_1_bal,,-10,1.022044184
"{""scenario"": ""forecast_verdi_rr_sim_cnty_expd"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 3}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""tin"": ""674188178""}",2025,2025,py,3,1,sim_cnty_risk_adj_rgnl_expd_unbal,,-20,99737.59261
"{""scenario"": ""forecast_verdi_pirelli_rr_sim_cnty_expd"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 3}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""tin"": ""674188178""}",2025,2025,py,3,1,sim_cnty_risk_adj_rgnl_expd_unbal,,-20,99737.59261
"{""scenario"": ""forecast_verdi_pirelli_rr_risk_adj_qexpu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 3}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""tin"": ""674188178""}",2025,2025,py,3,1,risk_adj_qexpu_expd_unbal,,-20,104433.4873
"{""scenario"": ""forecast_verdi_rr_risk_adj_qexpu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 3}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""tin"": ""674188178""}",2025,2025,py,3,1,risk_adj_qexpu_expd_unbal,,-20,104433.4873
"{""scenario"": ""forecast_verdi_pirelli_rr_expu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 3}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""tin"": ""674188178""}",2025,2025,py,3,1,rgnl_expd_unbal,,-20,101500.5279
"{""scenario"": ""forecast_verdi_rr_expu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 3}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""tin"": ""674188178""}",2025,2025,py,3,1,rgnl_expd_unbal,,-20,101500.5279
"{""scenario"": ""forecast_rr1_expu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 3}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""tin"": ""674188178""}",2025,2025,py,3,1,rgnl_expd_unbal,,-20,101500.5279
"{""scenario"": ""forecast_verdi_rr_expu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 2}","{""aco"": ""ACO0001"", ""tin"": ""674188178""}",2025,2025,py,3,1,verdi_bene_matched_reno_rscor_bal,,-10,1.015791292
"{""scenario"": ""forecast_verdi_rr_sim_cnty_expd"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 2}","{""aco"": ""ACO0001"", ""tin"": ""674188178""}",2025,2025,py,3,1,verdi_bene_matched_reno_rscor_bal,,-10,1.015791292
"{""scenario"": ""forecast_verdi_rr_risk_adj_qexpu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 2}","{""aco"": ""ACO0001"", ""tin"": ""674188178""}",2025,2025,py,3,1,verdi_bene_matched_reno_rscor_bal,,-10,1.015791292
"{""scenario"": ""forecast_verdi_pirelli_rr_risk_adj_qexpu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 2}","{""aco"": ""ACO0001"", ""tin"": ""674188178""}",2025,2025,py,3,1,risk_adj_qexpu_expd_bal,,-10,104433.4873
"{""scenario"": ""forecast_verdi_rr_risk_adj_qexpu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 2}","{""aco"": ""ACO0001"", ""tin"": ""674188178""}",2025,2025,py,3,1,risk_adj_qexpu_expd_bal,,-10,104433.4873
"{""scenario"": ""forecast_verdi_rr_expu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 3}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""tin"": ""674188178""}",2025,2025,py,3,1,verdi_bene_matched_reno_rscor_bal,,-10,1.015791292
"{""scenario"": ""forecast_verdi_rr_risk_adj_qexpu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 3}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""tin"": ""674188178""}",2025,2025,py,3,1,verdi_bene_matched_reno_rscor_bal,,-10,1.015791292
"{""scenario"": ""forecast_verdi_rr_sim_cnty_expd"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 3}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""tin"": ""674188178""}",2025,2025,py,3,1,verdi_bene_matched_reno_rscor_bal,,-10,1.015791292
"{""scenario"": ""forecast_verdi_pirelli_rr_risk_adj_qexpu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 3}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""tin"": ""674188178""}",2025,2025,py,3,1,verdi_pirelli_reno_rscor_bal,,-10,1.015082061
"{""scenario"": ""forecast_verdi_pirelli_rr_expu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 3}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""tin"": ""674188178""}",2025,2025,py,3,1,verdi_pirelli_reno_rscor_bal,,-10,1.015082061
"{""scenario"": ""forecast_verdi_pirelli_rr_sim_cnty_expd"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 3}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""tin"": ""674188178""}",2025,2025,py,3,1,verdi_pirelli_reno_rscor_bal,,-10,1.015082061
"{""scenario"": ""forecast_verdi_rr_sim_cnty_expd"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 3}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""tin"": ""674188178""}",2025,2025,py,3,1,sim_cnty_risk_adj_rgnl_expd_bal,,-10,99737.59261
"{""scenario"": ""forecast_verdi_pirelli_rr_sim_cnty_expd"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 3}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""tin"": ""674188178""}",2025,2025,py,3,1,sim_cnty_risk_adj_rgnl_expd_bal,,-10,99737.59261
"{""scenario"": ""forecast_verdi_pirelli_rr_expu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 2}","{""aco"": ""ACO0001"", ""tin"": ""674188178""}",2025,2025,py,3,1,verdi_pirelli_reno_rscor_bal,,-10,1.015082061
"{""scenario"": ""forecast_verdi_pirelli_rr_sim_cnty_expd"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 2}","{""aco"": ""ACO0001"", ""tin"": ""674188178""}",2025,2025,py,3,1,verdi_pirelli_reno_rscor_bal,,-10,1.015082061
"{""scenario"": ""forecast_verdi_pirelli_rr_risk_adj_qexpu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 2}","{""aco"": ""ACO0001"", ""tin"": ""674188178""}",2025,2025,py,3,1,verdi_pirelli_reno_rscor_bal,,-10,1.015082061
"{""scenario"": ""forecast_verdi_rr_sim_cnty_expd"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 2}","{""aco"": ""ACO0001"", ""tin"": ""674188178""}",2025,2025,py,3,1,sim_cnty_risk_adj_rgnl_expd_bal,,-10,99737.59261
"{""scenario"": ""forecast_verdi_pirelli_rr_sim_cnty_expd"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 2}","{""aco"": ""ACO0001"", ""tin"": ""674188178""}",2025,2025,py,3,1,sim_cnty_risk_adj_rgnl_expd_bal,,-10,99737.59261
"{""scenario"": ""forecast_verdi_rr_expu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 2}","{""aco"": ""ACO0001"", ""tin"": ""674188178""}",2025,2025,py,3,1,rgnl_expd_bal,,-10,101500.5279
"{""scenario"": ""forecast_verdi_pirelli_rr_expu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 2}","{""aco"": ""ACO0001"", ""tin"": ""674188178""}",2025,2025,py,3,1,rgnl_expd_bal,,-10,101500.5279
"{""scenario"": ""forecast_rr1_expu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 2}","{""aco"": ""ACO0001"", ""tin"": ""674188178""}",2025,2025,py,3,1,rgnl_expd_bal,,-10,101500.5279
"{""scenario"": ""forecast_verdi_pirelli_rr_expu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 3}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""tin"": ""674188178""}",2025,2025,py,3,1,rgnl_expd_bal,,-10,101500.5279
"{""scenario"": ""forecast_verdi_rr_expu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 3}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""tin"": ""674188178""}",2025,2025,py,3,1,rgnl_expd_bal,,-10,101500.5279
"{""scenario"": ""forecast_rr1_expu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 3}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""tin"": ""674188178""}",2025,2025,py,3,1,rgnl_expd_bal,,-10,101500.5279
"{""scenario"": ""forecast_verdi_pirelli_rr_risk_adj_qexpu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 3}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""tin"": ""674188178""}",2025,2025,py,3,1,risk_adj_qexpu_expd_bal,,-10,104433.4873
"{""scenario"": ""forecast_verdi_rr_risk_adj_qexpu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 3}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""tin"": ""674188178""}",2025,2025,py,3,1,risk_adj_qexpu_expd_bal,,-10,104433.4873
"{""scenario"": ""forecast_rr1_expu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 4}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""npi"": ""5061193331"", ""tin"": ""674188178""}",2025,2025,py,3,1,risk_ratio_1_bal,,-10,1.022044184
"{""scenario"": ""forecast_verdi_rr_sim_cnty_expd"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 4}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""npi"": ""5061193331"", ""tin"": ""674188178""}",2025,2025,py,3,1,verdi_bene_matched_reno_rscor_bal,,-10,1.015791292
"{""scenario"": ""forecast_verdi_rr_expu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 4}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""npi"": ""5061193331"", ""tin"": ""674188178""}",2025,2025,py,3,1,verdi_bene_matched_reno_rscor_bal,,-10,1.015791292
"{""scenario"": ""forecast_verdi_rr_risk_adj_qexpu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 4}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""npi"": ""5061193331"", ""tin"": ""674188178""}",2025,2025,py,3,1,verdi_bene_matched_reno_rscor_bal,,-10,1.015791292
"{""scenario"": ""forecast_verdi_pirelli_rr_risk_adj_qexpu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 4}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""npi"": ""5061193331"", ""tin"": ""674188178""}",2025,2025,py,3,1,verdi_pirelli_reno_rscor_bal,,-10,1.015082061
"{""scenario"": ""forecast_verdi_pirelli_rr_expu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 4}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""npi"": ""5061193331"", ""tin"": ""674188178""}",2025,2025,py,3,1,verdi_pirelli_reno_rscor_bal,,-10,1.015082061
"{""scenario"": ""forecast_verdi_pirelli_rr_sim_cnty_expd"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 4}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""npi"": ""5061193331"", ""tin"": ""674188178""}",2025,2025,py,3,1,verdi_pirelli_reno_rscor_bal,,-10,1.015082061
"{""scenario"": ""forecast_verdi_pirelli_rr_expu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 4}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""npi"": ""5061193331"", ""tin"": ""674188178""}",2025,2025,py,3,1,rgnl_expd_bal,,-10,101500.5279
"{""scenario"": ""forecast_verdi_rr_expu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 4}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""npi"": ""5061193331"", ""tin"": ""674188178""}",2025,2025,py,3,1,rgnl_expd_bal,,-10,101500.5279
"{""scenario"": ""forecast_rr1_expu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 4}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""npi"": ""5061193331"", ""tin"": ""674188178""}",2025,2025,py,3,1,rgnl_expd_bal,,-10,101500.5279
"{""scenario"": ""forecast_verdi_rr_risk_adj_qexpu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 4}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""npi"": ""5061193331"", ""tin"": ""674188178""}",2025,2025,py,3,1,risk_adj_qexpu_expd_bal,,-10,104433.4873
"{""scenario"": ""forecast_verdi_pirelli_rr_risk_adj_qexpu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 4}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""npi"": ""5061193331"", ""tin"": ""674188178""}",2025,2025,py,3,1,risk_adj_qexpu_expd_bal,,-10,104433.4873
"{""scenario"": ""forecast_verdi_pirelli_rr_sim_cnty_expd"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 4}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""npi"": ""5061193331"", ""tin"": ""674188178""}",2025,2025,py,3,1,sim_cnty_risk_adj_rgnl_expd_bal,,-10,99737.59261
"{""scenario"": ""forecast_verdi_rr_sim_cnty_expd"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 4}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""npi"": ""5061193331"", ""tin"": ""674188178""}",2025,2025,py,3,1,sim_cnty_risk_adj_rgnl_expd_bal,,-10,99737.59261
"{""scenario"": ""forecast_verdi_pirelli_rr_expu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 4}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""npi"": ""9025891308"", ""tin"": ""674188178""}",2025,2025,py,3,1,verdi_pirelli_reno_rscor_bal,,-10,1.015082061
"{""scenario"": ""forecast_verdi_pirelli_rr_sim_cnty_expd"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 4}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""npi"": ""9025891308"", ""tin"": ""674188178""}",2025,2025,py,3,1,verdi_pirelli_reno_rscor_bal,,-10,1.015082061
"{""scenario"": ""forecast_verdi_pirelli_rr_risk_adj_qexpu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 4}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""npi"": ""9025891308"", ""tin"": ""674188178""}",2025,2025,py,3,1,verdi_pirelli_reno_rscor_bal,,-10,1.015082061
"{""scenario"": ""forecast_verdi_pirelli_rr_sim_cnty_expd"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 4}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""npi"": ""9025891308"", ""tin"": ""674188178""}",2025,2025,py,3,1,sim_cnty_risk_adj_rgnl_expd_bal,,-10,99737.59261
"{""scenario"": ""forecast_verdi_rr_sim_cnty_expd"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 4}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""npi"": ""9025891308"", ""tin"": ""674188178""}",2025,2025,py,3,1,sim_cnty_risk_adj_rgnl_expd_bal,,-10,99737.59261
"{""scenario"": ""forecast_verdi_pirelli_rr_risk_adj_qexpu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 4}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""npi"": ""5876284084"", ""tin"": ""674188178""}",2025,2025,py,3,1,verdi_pirelli_reno_rscor_bal,,-10,1.015082061
"{""scenario"": ""forecast_verdi_pirelli_rr_expu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 4}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""npi"": ""5876284084"", ""tin"": ""674188178""}",2025,2025,py,3,1,verdi_pirelli_reno_rscor_bal,,-10,1.015082061
"{""scenario"": ""forecast_verdi_pirelli_rr_sim_cnty_expd"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 4}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""npi"": ""5876284084"", ""tin"": ""674188178""}",2025,2025,py,3,1,verdi_pirelli_reno_rscor_bal,,-10,1.015082061
"{""scenario"": ""forecast_verdi_rr_expu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 4}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""npi"": ""9025891308"", ""tin"": ""674188178""}",2025,2025,py,3,1,rgnl_expd_bal,,-10,101500.5279
"{""scenario"": ""forecast_rr1_expu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 4}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""npi"": ""9025891308"", ""tin"": ""674188178""}",2025,2025,py,3,1,risk_ratio_1_bal,,-10,1.022044184
"{""scenario"": ""forecast_rr1_expu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 4}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""npi"": ""9025891308"", ""tin"": ""674188178""}",2025,2025,py,3,1,rgnl_expd_bal,,-10,101500.5279
"{""scenario"": ""forecast_verdi_pirelli_rr_expu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 4}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""npi"": ""9025891308"", ""tin"": ""674188178""}",2025,2025,py,3,1,rgnl_expd_bal,,-10,101500.5279
"{""scenario"": ""forecast_rr1_expu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 4}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""npi"": ""5876284084"", ""tin"": ""674188178""}",2025,2025,py,3,1,risk_ratio_1_bal,,-10,1.022044184
"{""scenario"": ""forecast_verdi_pirelli_rr_risk_adj_qexpu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 4}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""npi"": ""5061193331"", ""tin"": ""674188178""}",2025,2025,py,3,2,verdi_pirelli_reno_rscor_unbal,,-20,1.010179387
"{""scenario"": ""forecast_verdi_pirelli_rr_expu"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 4}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""npi"": ""5061193331"", ""tin"": ""674188178""}",2025,2025,py,3,2,verdi_pirelli_reno_rscor_unbal,,-20,1.010179387
"{""scenario"": ""forecast_verdi_pirelli_rr_sim_cnty_expd"", ""asgn_method"": ""prosp"", ""variant_code"": ""mpfs"", ""attr_scenario"": ""pirelli_cms_asgn""}","{""attr_name"": ""pirelli_cms_asgn"", ""attr_hier_sort"": 4}","{""aco"": ""ACO0001"", ""ccn"": ""None"", ""npi"": ""5061193331"", ""tin"": ""674188178""}",2025,2025,py,3,2,verdi_pirelli_reno_rscor_unbal,,-20,1.010179387
